"ifam","zygosity_2G","sex_2","sex_1","predicted_emotional11r_2","predicted_emotional13r_2","EMPQ_emotional11r_2","EMPQ_emotional13r_2","predicted_cognitive11r_2","predicted_cognitive13r_2","EMPQ_cognitive11r_2","EMPQ_cognitive13r_2","predicted_emotional11r_1","predicted_emotional13r_1","EMPQ_emotional11r_1","EMPQ_emotional13r_1","predicted_cognitive11r_1","predicted_cognitive13r_1","EMPQ_cognitive11r_1","EMPQ_cognitive13r_1"
"gp6945","DZ",2,1,0.0724985621839108,0.480638792648195,0.535989159902441,1.11802915492273,-0.141283178759347,0.07023992734951,0.301921537913819,0.51550775645,-0.138314100835074,-0.111641577650525,-0.693884478046347,-0.404547443081365,-0.11784860534307,-0.0418356704694259,0.317190108153299,-0.6115381413937
"gp6960","DZ",1,2,0.0742822755611153,0.519597009588235,0.487933703953652,-0.0409110790813644,-0.0844280298524006,0.111400689878305,0.428301219153299,0.610684081606299,0.21983411971,0.201475889290175,0.172352795902441,1.11802915492273,0.0176655778904531,0.13574813088001,0.63525487191382,0.07106331145
"gp6982","DZ",1,1,-0.154980828501375,0.131060148205375,0.306115521953653,1.32272528391864,-0.26828879258973,-0.148056768485296,-0.349476557846701,0.0551285256062993,-0.0586901608091345,0.0105093967420653,-0.0575208410463471,-0.131820170081365,0.0512807850847991,0.0465140954201139,0.428301219153299,0.277350747606299
"gp6993","MZ",1,1,NA,0.0727487712618853,NA,-0.313638352081365,NA,-0.112747794373066,NA,-0.319871474393701,NA,-0.174831913443704,NA,0.0499980119186354,NA,-0.0352256610961657,NA,0.166239636606299
"gs7004","DZ",1,2,-0.202107123684105,-0.0662265492727844,-0.330248114046347,0.686361647918635,-0.29229918361697,0.077244231778444,-0.127254335846701,0.0551285256062993,-0.38583060622155,-0.0333978638252147,-0.373101749097559,-0.154698117077274,-0.0484620922134973,0.0936687190665202,0.74636598291382,0.51550775645
"gs7026","DZ",2,2,0.18181567717269,0.152012134625895,0.535989159902441,0.299847336922727,0.000840724051262911,-0.0601621246776203,0.0796993159138193,-0.70671446655,0.117355746194361,0.200738114057675,0.0814437049024416,0.936210972922727,0.282540967292543,0.20533113687335,0.19081042691382,0.18217442245
"gs7052","DZ",2,1,0.10984358660184,NA,0.263261886902441,NA,0.350149355929023,NA,0.301921537913819,NA,0.0296923517949453,NA,0.487933703953652,NA,0.10653100904157,NA,-0.460587669846701,NA
"gs7111","DZ",2,2,0.34161604099785,0.160929955714705,1.08144370490244,0.663483700922727,0.340161642843843,0.38284359773316,0.52414376091382,0.84884108945,-0.0399123902370697,-0.0453664728324549,0.626898250902442,0.299847336922727,-0.163930330854817,-0.23217540173198,-0.0314117950861803,-0.37338113255
"gs7122","MZ",1,1,0.126132215720995,0.393304111062575,0.0333882499536528,0.413634374918635,-0.0641102865137007,0.0717954687621046,-0.349476557846701,-0.167093696393701,-0.113038646482415,0.721306176067666,0.124297340953653,0.686361647918635,-0.0877822742059307,0.348602008833304,0.094967886153299,0.499572969606299
"gs7133","DZ",2,2,0.33022899589475,0.0520705749353151,-0.191283567097558,0.208938245922726,0.281140619331033,0.19880398867667,0.85747709391382,0.51550775645,0.11094774184752,0.262124186929405,-0.100374476097559,0.208938245922726,0.219313912745333,0.23863064689124,0.52414376091382,0.73772997845
"gs7155","DZ",2,2,0.269402171609281,NA,-0.373101749097559,NA,0.124770359697193,NA,0.41303264891382,NA,0.0188427477237705,NA,-0.100374476097559,NA,0.110606524717923,NA,-0.14252290608618,NA
