ifam,ID,source,whichParentOut,whyParentOut,EQSQ_empathy.2,EQSQ_empathy.3
39611,1,0,0, , ,1.2
39611,4,0,0, , ,1.6
39622,1,0,0, ,1.6,1.4
39622,4,0,0, ,1.6,1.4
39651,1,0,0, ,1,1.4
39651,4,0,0, ,1.6,1.8
39662,1,1,0, ,0.6,1.4
39662,4,1,0, ,0.8,1.4
39673,1,1,0, ,1.2,0.5
39673,4,1,0, ,1.2,1.75
39713,1,0,0, , ,0.8
39713,4,0,0, , ,0.8
39742,1,0,0, ,1,1.6
39742,4,0,0, ,1,1.6
39782,1,0,0, , ,1.8
39782,4,0,0, , ,1.8
39862,1,0,0, ,1, 
39862,4,0,0, ,1.2, 
39931,1,0,0, , ,1.6
39931,4,0,0, , ,0.4
39942,1,1,1,3, ,1.666666667
39942,4,1,1,3, ,2
39982,1,0,0, , ,1.6
39982,4,0,0, , ,1.6
40073,1,0,0, , ,1.2
40073,4,0,0, , ,1
40091,1,0,0, , ,1.8
40091,4,0,0, , ,1.6
40113,1,0,0, , ,0.8
40113,4,0,0, , ,0.666666667
40182,1,0,0, , ,2
40182,4,0,0, , ,1.75
40211,1,0,0, , ,1.4
40211,4,0,0, , ,1.6
40233,1,0,0, , ,1.2
40233,4,0,0, , ,0.8
40513,1,0,0, ,1.2, 
40513,4,0,0, ,1.2, 
40662,1,0,0, , ,1.2
40662,4,0,0, , ,2
40833,1,0,0, , ,1.6
40833,4,0,0, , ,1
40873,1,0,0, ,0.4,1.2
40873,4,0,0, ,1.2,1.8
40880,1,0,0, , ,0.8
40880,4,0,0, , ,0.8
82662,1,0,0, ,1,1
82662,4,0,0, ,1,1
80011,1,0,0, , ,2
80011,4,0,0, , ,1.2
80033,1,0,0, ,1,1
80033,4,0,0, ,1,0.8
80080,1,0,0, ,1.6,1
80080,4,0,0, ,1.4,1.2
80120,1,1,0, ,1.4,1.8
80120,4,1,0, ,1.2,1.6
80131,1,0,0, ,1,1.2
80131,4,0,0, ,0.75,1.2
80142,1,0,0, , ,1.6
80142,4,0,0, , ,1.6
80211,1,0,0, ,1.4,1.4
80211,4,0,0, ,1.5,1.6
80240,1,0,0, ,1,1.2
80240,4,0,0, ,0.6,1
80262,1,1,0, ,1.4,2
80262,4,1,0, ,1.2,1
80280,1,0,0, ,1.6,1.6
80280,4,0,0, ,2,2
80302,1,0,0, , ,1.6
80302,4,0,0, , ,1
80382,1,0,0, ,1.4, 
80382,4,0,0, ,1.4, 
80411,1,0,0, ,0.2,0.4
80411,4,0,0, ,0.2,0.4
80433,1,0,0, , ,1.4
80433,4,0,0, , ,1.2
80440,1,0,0, ,1.5,1.6
80440,4,0,0, ,1,1.4
80462,1,0,0, ,1.6,1.4
80462,4,0,0, ,1.2,1.4
80502,1,0,0, , ,0.6
80502,4,0,0, , ,0.6
80542,1,1,0, , ,1.8
80542,4,1,0, , ,1.8
80560,1,0,0, ,1,1.6
80560,4,0,0, ,1,1.4
80622,1,0,0, ,1.2,0.4
80622,4,0,0, ,1.4,0.4
80702,1,0,0, ,1.4,1.2
80702,4,0,0, ,1.333333333,1.2
80753,1,1,0, , ,1.8
80753,4,1,0, , ,2
80760,1,0,0, , ,1.4
80760,4,0,0, , ,1.6
80880,1,1,0, ,1.2,1
80880,4,1,0, ,1.2,1
80971,1,0,0, ,1.8,1.6
80971,4,0,0, ,0.8,1.6
81000,1,0,0, ,1.2,1
81000,4,0,0, ,1.2,1
81120,1,0,0, , ,1.4
81120,4,0,0, , ,1.2
81211,1,0,0, ,0.4, 
81211,4,0,0, ,0.4, 
81233,1,0,0, , ,1.2
81233,4,0,0, , ,1.2
81313,1,1,0, ,1.4,1.2
81313,4,1,0, ,1.2,0.8
81382,1,0,0, ,0.8, 
81382,4,0,0, ,1.4, 
81393,1,0,0, , ,1.6
81393,4,0,0, , ,1.25
81400,1,1,0, ,1.2,1
81400,4,1,0, ,1,1
81513,1,0,0, , ,2
81513,4,0,0, , ,1.4
81553,1,0,0, ,1,1.4
81553,4,0,0, ,0.4,1.4
81560,1,1,0, , ,1
81560,4,1,0, , ,1
81622,1,1,0, ,1.4,1.4
81622,4,1,0, ,1.4,1.4
81662,1,1,0, , ,1.2
81662,4,1,0, , ,1.4
81702,1,0,0, , ,1.6
81702,4,0,0, , ,1.2
81731,1,0,0, , ,0.2
81731,4,0,0, , ,0.2
81771,1,0,0, , ,2
81771,4,0,0, , ,1
81782,1,1,0, ,1.6,1
81782,4,1,0, ,0,0.4
81822,1,1,0, ,1.2,1.4
81822,4,1,0, ,1.2,1.4
81880,1,0,0, ,1,1
81880,4,0,0, ,1,1.4
81902,1,0,0, , ,1
81902,4,0,0, , ,1.2
82091,1,0,0, ,2,2
82091,4,0,0, ,1.2,1.8
82102,1,0,3,1,0.8,0.6
82102,4,0,3,1,0.4,1.6
82120,1,0,0, , ,0.6
82120,4,0,0, , ,0.4
82171,1,0,0, , ,1.4
82171,4,0,0, , ,1.8
82182,1,0,0, ,1.4, 
82182,4,0,0, ,0.8, 
82240,1,0,0, ,1.6,1.8
82240,4,0,0, ,1,0.8
82331,1,0,0, ,1.4, 
82331,4,0,0, ,1.4, 
82582,1,0,0, ,1.8,0.4
82582,4,0,0, ,1.8,0.4
82771,1,0,0, ,0.2,0.6
82771,4,0,0, ,0.6,0.6
82942,1,1,0, ,1.6,1.75
82942,4,1,0, ,1.2,1.75
82953,1,0,0, , ,1.8
82953,4,0,0, , ,1.8
83033,1,0,0, , ,1.8
83033,4,0,0, , ,1.6
83342,1,1,0, , ,1
83342,4,1,0, , ,1.4
110331,1,0,0, , ,1.6
110331,4,0,0, , ,1.6
110360,1,0,0, ,1.4,1.2
110360,4,0,0, ,0.8,1
110382,1,0,0, ,0.8,1.4
110382,4,0,0, ,0.8,1.2
110411,1,0,0, , ,2
110411,4,0,0, , ,2
110440,1,0,0, ,1.6, 
110440,4,0,0, ,1.6, 
110462,1,1,0, ,1,1.4
110462,4,1,0, ,1,1.6
110491,1,0,0, , ,0.8
110491,4,0,0, , ,0.4
