"ifam","ID","OnlineManual","EMPQ_emotional_11","EMPQ_cognitive_11","predicted_emotional_11","predicted_cognitive_11","OnlineManual13","EMPQ_emotional_13","EMPQ_cognitive_13","predicted_emotional_13","predicted_cognitive_13","sex","zygosity","zygoAcc3"
1044,1,0,2.636363636,3.666666667,2.85010428260583,3.86576070966481,0,2.545454545,4.555555556,3.24883171749808,4.29025061751792,2,1,1
1044,4,NA,NA,NA,NA,NA,0,2.454545455,4,2.62178457926911,3.87486809839519,2,1,1
1046,1,0,3.636363636,3.666666667,3.43506370953832,3.87281882590297,0,4,4.111111111,3.25590832905811,4.14088570092289,1,2,1
1046,4,0,3.181818182,4.333333333,3.36757466775019,3.84656719860601,0,3.090909091,3.777777778,3.37454853997923,3.76893448873393,1,2,1
1047,1,0,3.181818182,4.555555556,3.83663570864683,4.22970042382504,NA,NA,NA,NA,NA,2,3,2
1047,4,0,2.909090909,3.777777778,3.5947615394626,4.22203692312813,NA,NA,NA,NA,NA,1,3,2
1048,1,NA,NA,NA,NA,NA,0,3.363636364,4.25,3.36464556080877,4.31927586153948,2,2,1
1048,4,NA,NA,NA,NA,NA,0,4.090909091,4.111111111,3.38934875440816,4.23371697121944,2,2,1
1049,1,NA,NA,NA,NA,NA,0,2.454545455,3.25,3.03910109117444,3.75584453157996,1,3,2
1049,4,NA,NA,NA,NA,NA,0,2.8,4,2.86393879952642,3.68401522447257,2,3,2
1051,1,0,4,4.222222222,3.51863956906054,4.02569250997196,0,3.727272727,3.555555556,3.78234776996197,3.99286107821634,2,2,1
1051,4,0,3.636363636,3.888888889,3.1502783393735,3.64851089015014,0,3.818181818,4,3.46491072268604,3.80582084619465,2,2,1
1052,1,0,2.090909091,3.666666667,2.65819165279794,3.5516610820517,NA,NA,NA,NA,NA,2,2,3
1052,4,0,3,4.222222222,3.60896878421857,3.9628837485059,NA,NA,NA,NA,NA,2,2,3
1053,1,0,3.636363636,3.777777778,3.48086896165246,3.98458830393303,NA,NA,NA,NA,NA,1,1,1
