ifam,ID,Date.2,Date.3,source,StartDate.2,FinishDate.2,StartDate.3,FinishDate.3,family_note,whichParentOut,whyParentOut,EmpCon.2,EmpCon.3,EQSQ_empathy.2,EQSQ_empathy.3
1130,4, , ,0,12/1/2015 14:45:58,12/1/2015 20:01:44,12/19/2015 11:12:14,12/19/2015 11:42:41, ,0, ,1.33333333333333,1.83333333333333,.8,1.6
1131,1, , ,0, , ,4/16/2016 7:46:55,4/16/2016 8:20:56, ,0, , ,1.83333333333333, ,2
1131,4, , ,0, , ,4/16/2016 7:46:55,4/16/2016 8:20:56, ,0, , ,1.66666666666667, ,1.6
1132,1, , ,0, , ,5/9/2016 11:43:47, , ,0, , ,1.5, ,1.6
1132,4, , ,0, , ,5/9/2016 11:43:47, , ,0, , ,1.5, ,1.6
1133,1, , ,0,12/4/2015 7:29:57,12/4/2015 8:03:03,5/30/2016 15:57:12,5/30/2016 16:45:53, ,0, ,1.5,1,1.4,1
1133,4, , ,0,12/4/2015 7:29:57,12/4/2015 8:03:03,5/30/2016 15:57:12,5/30/2016 16:45:53, ,0, ,1.5,1,1.4,1
1135,1, , ,0,4/27/2016 6:59:15,4/27/2016 10:56:19,4/27/2016 6:37:47,4/27/2016 7:25:14, ,0, ,.333333333333333,1.33333333333333,.4,1.4
1135,4, , ,0,4/27/2016 6:59:15,4/27/2016 10:56:19,4/27/2016 6:37:47,4/27/2016 7:25:14, ,0, ,2,1.83333333333333,2,1.8
1136,1, , ,0,4/28/2016 14:42:12,4/28/2016 15:57:13,4/13/2016 20:16:46,4/13/2016 21:29:27, ,0, ,1.16666666666667,2,1.4,2
1136,4, , ,0,4/28/2016 14:42:12,4/28/2016 15:57:13,4/13/2016 20:16:46,4/13/2016 21:29:27, ,0, ,1.16666666666667,2,1.4,2
1137,1, , ,0,4/18/2016 5:55:46, ,4/29/2016 7:10:16,4/29/2016 7:55:51, ,0, ,1.5,1.33333333333333,1.6,1.4
1137,4, , ,0,4/18/2016 5:55:46, ,4/29/2016 7:10:16,4/29/2016 7:55:51, ,0, ,1.33333333333333,1.66666666666667,1.2,1.8
1138,1, , ,0,8/10/2016 12:56:25, ,8/10/2016 12:14:16, , ,0, , ,1.5, ,1.2
1138,4, , ,0,8/10/2016 12:56:25, ,8/10/2016 12:14:16, , ,0, , ,1.5, ,1.6
1139,1, , ,0,4/9/2016 17:42:47,4/9/2016 19:12:12, , , ,0, ,1.5, ,1.4, 
1139,4, , ,0,4/9/2016 17:42:47,4/9/2016 19:12:12, , , ,0, ,1.66666666666667, ,1.6, 
1143,1, , ,0,8/26/2016 12:12:52,8/26/2016 12:46:14,8/26/2016 12:48:04,8/26/2016 13:37:56, ,0, ,1.66666666666667,1.66666666666667,1.75,1.6
1143,4, , ,0,8/26/2016 12:12:52,8/26/2016 12:46:14,8/26/2016 12:48:04,8/26/2016 13:37:56, ,0, ,2,1.66666666666667,1.8,1.4
1149,1, , ,0,7/31/2016 9:02:14,7/31/2016 9:45:56,7/31/2016 12:29:40,7/31/2016 13:01:05, ,0, ,1.16666666666667,1.5,.8,1.2
1149,4, , ,0,7/31/2016 9:02:14,7/31/2016 9:45:56,7/31/2016 12:29:40,7/31/2016 13:01:05, ,0, ,1.5,1.16666666666667,1,1
1151,1, , ,0,8/7/2016 19:54:37,8/7/2016 20:18:59,8/7/2016 19:00:39,8/7/2016 19:31:12, ,0, ,.666666666666667,.5,.8,.2
1151,4, , ,0,8/7/2016 19:54:37,8/7/2016 20:18:59,8/7/2016 19:00:39,8/7/2016 19:31:12, ,0, ,1.16666666666667,1.5,.8,1.2
1155,1, ,8/23/2016,1, , , , , ,0, , ,.166666666666667, ,.4
1155,4, ,8/23/2016,1, , , , , ,0, , ,1.83333333333333, ,1.8
1158,1, , ,0,11/12/2016 10:06:55,11/12/2016 10:59:48, , , ,0, ,2, ,1.6, 
1158,4, , ,0,11/12/2016 10:06:55,11/12/2016 10:59:48, , , ,0, ,1.5, ,1.4, 
1159,1, , ,0,9/26/2016 18:44:55,11/9/2016 11:14:27,9/26/2016 18:47:05,11/6/2016 10:26:27, ,0, ,.666666666666667,1,.8,1.2
1159,4, , ,0,9/26/2016 18:44:55,11/9/2016 11:14:27,9/26/2016 18:47:05,11/6/2016 10:26:27, ,0, ,1.16666666666667,1.83333333333333,1.2,1.8
1161,1,7/8/2016,7/4/2016,1, , , , , ,0, ,2,2,1.6,1.6
1161,4,7/8/2016,7/4/2016,1, , , , , ,0, ,2,1.33333333333333,1.8,1
1163,1, ,3/5/2017,1, , , , ,"תאום ב ענה על השאלונים בעפרון. ב3 שאלונים בלבד, יש גם מענה בעפרון וגם מענה בעט, שפעמים רבות מסמן תשובות שונות מאשר הסימונים בעפרון (לדוגמה על אותו הפריט העפרון הקיף 4 והעט הקיפה 1). על כן, נראה שכדאי לפסול את השאלונים הספציפיים הללו - אתה ואמך, אתה ואביך והערכה עצמית.",0, , ,.833333333333333, ,.8
1163,4, ,3/5/2017,1, , , , ,"תאום ב ענה על השאלונים בעפרון. ב3 שאלונים בלבד, יש גם מענה בעפרון וגם מענה בעט, שפעמים רבות מסמן תשובות שונות מאשר הסימונים בעפרון (לדוגמה על אותו הפריט העפרון הקיף 4 והעט הקיפה 1). על כן, נראה שכדאי לפסול את השאלונים הספציפיים הללו - אתה ואמך, אתה ואביך והערכה עצמית.",0, , ,1, ,1
1164,1, , ,0,5/2/2017 5:45:55,5/3/2017 12:42:39,4/8/2017 12:55:50,4/8/2017 13:53:49, ,0, ,1,1.16666666666667,.8,1.4
1164,4, , ,0,5/2/2017 5:45:55,5/3/2017 12:42:39,4/8/2017 12:55:50,4/8/2017 13:53:49, ,0, ,1,1.33333333333333,.8,1.6
1165,1, , ,0,4/19/2017 17:21:55,4/19/2017 19:51:37,4/4/2017 18:50:49,4/4/2017 19:52:02, ,0, ,1.66666666666667,1.66666666666667,1.4,1.6
1165,4, , ,0,4/19/2017 17:21:55,4/19/2017 19:51:37,4/4/2017 18:50:49,4/4/2017 19:52:02, ,0, ,1.66666666666667,1.5,1.4,1.6
1166,1, , ,0,3/9/2017 11:46:12,3/15/2017 11:18:28,3/1/2017 13:43:15,3/1/2017 14:48:46, ,0, ,2,1.83333333333333,1.8,1.8
1166,4, , ,0,3/9/2017 11:46:12,3/15/2017 11:18:28,3/1/2017 13:43:15,3/1/2017 14:48:46, ,0, ,1.83333333333333,1.5,1.6,1.2
1167,1, , ,0,1/5/2017 13:33:22,1/5/2017 18:39:19,1/5/2017 19:41:57,1/5/2017 20:12:04, ,0, ,1.16666666666667,1.83333333333333,.8,1.4
