ifam,ID,source,whichParentOut,whyParentOut,EQSQ_empathy.2,EQSQ_empathy.3
33382,4,1,0, , ,1.4
33393,1,0,0, , ,1.4
33393,4,0,0, , ,1.4
33400,1,0,0, ,1.2,1.4
33400,4,0,0, ,0.6,2
33411,1,0,0, ,1.2,1
33411,4,0,0, ,1.6,1.8
33422,1,1,0, , ,2
33422,4,1,0, , ,1.8
33433,1,0,3,1,1, 
33433,4,0,3,1,1.6, 
33451,1,0,0, , ,0.8
33451,4,0,0, , ,1.6
33462,1,0,0, ,0.6,1.2
33462,4,0,0, ,0.4,1.2
33473,1,0,0, , ,1.6
33473,4,0,0, , ,1.6
33502,1,1,0, , ,1.2
33502,4,1,0, , ,1.2
33520,1,0,0, ,0,0.6
33520,4,0,0, ,0.2,0.8
33571,1,0,0, ,1.4,2
33571,4,0,0, ,1,2
33600,1,0,0, ,1.2, 
33600,4,0,0, ,1.2, 
33611,1,0,0, , ,0.8
33611,4,0,0, , ,2
33622,1,0,0, , ,1.4
33622,4,0,0, , ,1.8
33633,1,0,0, , ,0.8
33633,4,0,0, , ,0.8
33640,1,0,0, , ,1.4
33640,4,0,0, , ,1.2
33662,1,0,0, , ,1.4
33662,4,0,0, , ,1.75
33680,1,0,0, , ,2
33680,4,0,0, , ,2
33720,1,0,0, , ,1
33720,4,0,0, , ,0.8
33771,1,1,0, ,0.4,1
33771,4,1,0, ,0.2,0.8
33782,1,0,0, ,0.8,1.6
33782,4,0,0, ,0.8,1.8
33793,1,0,0, ,1.2,0.8
33793,4,0,0, ,1.4,1
33862,1,0,0, , ,1.2
33862,4,0,0, , ,1.2
33902,1,0,0, ,1.6,0.8
33902,4,0,0, ,1,1.6
33913,1,0,0, ,1.4,1.4
33913,4,0,0, ,1.4,1.8
33931,1,0,0, ,1.4,1.2
33931,4,0,0, ,1.4,1.2
33982,1,0,0, ,1.6, 
33982,4,0,0, ,1.6, 
34033,1,0,0, ,1,1.2
34033,4,0,0, ,1.4,1.2
34062,1,0,0, ,1.4,2
34062,4,0,0, ,1.8,2
34091,1,0,0, , ,1.2
34091,4,0,0, , ,1.6
34113,1,0,0, ,1.4,0.6
34113,4,0,0, ,1.4,1.6
34120,1,0,0, ,1,1.2
34120,4,0,0, ,1.6,1.8
34131,1,0,3,1,0.6,0.8
34131,4,0,3,1,0.6,0.6
34142,1,0,0, ,1,1.4
34142,4,0,0, ,1,1.4
34200,1,0,0, ,1.6,1.75
34200,4,0,0, ,1.8,2
34211,1,1,0, ,1.4,1.2
34211,4,1,0, ,1.2,1.6
34251,1,0,0, ,1.6,1.6
34251,4,0,0, ,1.25,1.2
34262,1,0,0, ,1.8,1.4
34262,4,0,0, ,1.6,1.2
34273,1,0,0, , ,1.2
34273,4,0,0, , ,1.2
34302,1,0,0, ,0.8,0.8
34302,4,0,0, ,0.8,0.8
34313,1,0,0, ,1,0.6
34313,4,0,0, ,0.8,1.2
34320,1,0,0, , ,1
34320,4,0,0, , ,1
34331,1,0,0, , ,1.4
34331,4,0,0, , ,1.4
34342,1,0,0, ,0.8,0.8
34342,4,0,0, ,0.6,0.8
34393,1,0,0, ,1.2, 
34393,4,0,0, ,0.8, 
34433,1,0,0, ,0.6,1.2
34433,4,0,0, ,1,0.8
34462,1,0,0, , ,1.6
34462,4,0,0, , ,0.6
34473,1,0,0, ,1.2,1.2
34473,4,0,0, ,1,1.2
34480,1,0,0, ,1.2,0.8
34480,4,0,0, ,1.6,1.2
34553,1,1,0, , ,1.8
34553,4,1,0, , ,1.8
34633,1,1,0, ,1.75,1.333333333
34633,4,1,0, ,1.75,1.666666667
34640,1,0,0, ,1.25,1.6
34640,4,0,0, ,1.25,1.6
34691,1,0,0, ,1.6,1.8
34691,4,0,0, ,1.6,1.8
34713,1,1,0, , ,2
34713,4,1,0, , ,1.6
34742,1,0,0, ,1.4,1.6
34742,4,0,0, ,0.8,1.2
34753,1,0,0, , ,1.8
34753,4,0,0, , ,1.6
34782,1,0,0, , ,1.6
34782,4,0,0, , ,1.6
34793,1,0,0, ,1,1.2
34793,4,0,0, ,1.8,1
34833,1,0,0, , ,1.4
34833,4,0,0, , ,1.2
34851,1,0,0, , ,2
34851,4,0,0, , ,0.8
34862,1,2,3,1,1.4,1.6
34862,4,2,3,1,1.4,1.4
34891,1,0,0, ,2,1.8
34891,4,0,0, ,1.8,1.8
34942,1,0,0, , ,1.6
34942,4,0,0, , ,1.8
34953,1,1,0, ,1.4,1
34953,4,1,0, ,1.2,1.2
34971,1,0,0, ,1,0.4
34971,4,0,0, ,0.8,0.5
34982,1,1,0, ,2,1.2
34982,4,1,0, ,2,2
35000,1,0,0, , ,2
35000,4,0,0, , ,2
35022,1,0,0, ,1.2,1.4
35022,4,0,0, ,0.8,1.4
35073,1,1,0, ,1.6,1.5
35073,4,1,0, ,1.2,1.5
35091,1,0,0, ,1.6,2
35091,4,0,0, ,0.6,0.8
35102,1,1,0, ,1.8,1.6
35102,4,1,0, ,1.8,1.6
35131,1,0,0, , ,1.6
35131,4,0,0, , ,0.8
35153,1,0,0, , ,1
35153,4,0,0, , ,0.8
35160,1,0,0, , ,1.4
35160,4,0,0, , ,0
35182,1,1,0, , ,1.6
35182,4,1,0, , ,1
35193,1,0,0, ,1.2,1
35193,4,0,0, ,0.8,0.75
35211,1,0,0, ,0.4,0.8
35211,4,0,0, ,0.2,0.6
35240,1,0,0, ,1.6, 
35240,4,0,0, ,1.6, 
35251,1,0,0, ,1.8,1.8
35251,4,0,0, ,1.8,1.8
35280,1,0,0, ,0.2,0.8
35280,4,0,0, ,0.6,1
35313,1,0,0, , ,1.8
35313,4,0,0, , ,1.8
35400,1,0,0, ,0.8,1.4
35400,4,0,0, ,1,1.4
35422,1,0,0, ,1.2,2
35422,4,0,0, ,1.2,2
35433,1,0,0, , ,0.4
35433,4,0,0, , ,1.6
35451,1,0,0, , ,1.2
35451,4,0,0, , ,1
35462,1,0,0, , ,1.2
35462,4,0,0, , ,1.2
35520,1,0,0, ,1.2,1.8
35520,4,0,0, ,0.4,1.2
35531,1,1,0, ,0,1.2
35531,4,1,0, ,0,0.4
35553,1,1,0, ,0.8,0.6
35553,4,1,0, ,1.4,1.6
35593,1,0,0, ,1.8,0.4
35593,4,0,0, ,1.8,0.4
35611,1,0,0, ,1,1.2
35611,4,0,0, ,1,1.2
35651,1,1,0, ,0.6,0
35651,4,1,0, ,0.8,1.25
35662,1,0,0, ,2,2
35662,4,0,0, ,2,2
35691,1,0,0, , ,1.4
35691,4,0,0, , ,1.8
35713,1,0,0, , ,1.2
35713,4,0,0, , ,1.4
35742,1,0,0, ,1.8,2
35742,4,0,0, ,1,1.8
35782,1,0,0, ,1.4,1.25
35782,4,0,0, ,1,0.75
35793,1,0,0, ,1.2,1.8
35793,4,0,0, ,1.2,1.8
35800,1,0,0, , ,1.4
35800,4,0,0, , ,0.6
35811,1,0,0, , ,1.8
35811,4,0,0, , ,1.8
35822,1,0,0, , ,2
35822,4,0,0, , ,2
35833,1,0,0, ,1.8,1.4
35833,4,0,0, ,1.8,1.2
35920,1,0,0, , ,0.8
35920,4,0,0, , ,1
35931,1,1,0, ,1,1.8
35931,4,1,0, ,1.2,1.8
35942,1,0,0, , ,1
35942,4,0,0, , ,1.6
35960,1,0,0, ,1.2,2
35960,4,0,0, ,1,2
35971,1,0,0, ,1.25,1.6
35971,4,0,0, ,1,1
36022,1,0,0, ,0.8,0.4
36022,4,0,0, ,1.2,0.8
36102,1,0,0, ,0.8,1
36102,4,0,0, , ,1.4
36120,1,0,0, , ,2
36120,4,0,0, , ,0.8
36131,1,0,0, ,0.4,1
36131,4,0,0, ,0.5,1.2
36142,1,0,0, ,2,2
36142,4,0,0, ,1.6,1.4
36153,1,0,0, , ,1.8
36153,4,0,0, , ,0.5
36160,1,0,0, ,0.75,1
36160,4,0,0, ,1.25,1.6
36171,1,0,0, ,1.8, 
36171,4,0,0, ,1.4, 
36182,1,1,0, , ,1
36182,4,1,0, , ,1.4
36193,1,0,0, , ,1.4
36193,4,0,0, , ,1.4
36200,1,1,0, ,1.8,1.2
36200,4,1,0, ,1.2,0.6
36233,1,0,0, ,1.4, 
36233,4,0,0, ,1.4, 
36251,1,0,0, ,1.2,1
36251,4,0,0, ,1.4,1.8
36262,1,0,0, , ,2
36262,4,0,0, , ,1
36273,1,0,0, ,1.4,1.2
36273,4,0,0, ,1.4,1.2
36280,1,0,0, , ,0.6
36280,4,0,0, , ,1.8
36331,1,0,0, ,1.4,1.8
36331,4,0,0, ,1.4,1.8
36393,1,1,0, , ,1
36393,4,1,0, , ,1
36411,1,0,0, , ,1.4
36411,4,0,0, , ,1.8
36433,1,0,0, , ,0.8
36433,4,0,0, , ,0.8
36473,1,0,0, , ,1
36473,4,0,0, , ,1.4
36491,1,0,0, ,0.8,0.4
36491,4,0,0, ,2,1.6
36542,1,0,0, ,1.2,1
36542,4,0,0, ,1.2,0.75
36560,1,0,0, , ,2
36560,4,0,0, , ,2
36582,1,0,0, , ,1.2
36582,4,0,0, , ,1.2
36600,1,1,0, ,1.8,1.8
36600,4,1,0, ,1.8,1.2
36622,1,0,0, ,1.8,1.2
36622,4,0,0, ,1.8,2
36633,1,0,0, ,1.6, 
36633,4,0,0, ,1.4, 
36673,1,0,0, ,1,1.4
36673,4,0,0, ,1,1.4
36702,1,0,0, , ,1.4
36702,4,0,0, , ,1
36742,1,1,0, ,1.8,1.4
36742,4,1,0, ,2,1.6
36753,1,0,0, ,1.6,1.8
36753,4,0,0, ,1.6,1.6
36760,1,0,0, ,1.4,1.4
36760,4,0,0, ,1.8,1.4
36782,1,0,0, ,1,1.8
36782,4,0,0, ,1,1.8
36793,1,0,0, , ,1.2
36793,4,0,0, , ,1.2
36800,1,1,0, ,1.2,1
36800,4,1,0, ,1,1
36811,1,1,0, ,0.8,1.6
36811,4,1,0, ,1.4,1.6
36840,1,0,0, ,0.6,1
36840,4,0,0, ,1.4,1.6
36851,1,0,0, , ,0.6
36851,4,0,0, , ,2
36862,1,0,0, , ,1.6
36862,4,0,0, , ,1.6
36873,1,0,0, , ,1.8
36873,4,0,0, , ,1.6
36880,1,1,0, , ,1
36880,4,1,0, , ,1.6
36913,1,0,0, , ,1.4
36913,4,0,0, , ,1
36942,1,0,3,1,0.6, 
36942,4,0,3,1,0.5, 
36960,1,0,0, , ,1
36960,4,0,0, , ,1.6
36971,1,1,0, ,1.2,0.6
36971,4,1,0, ,1.4,1
36982,1,0,0, ,1.2,1.8
36982,4,0,0, ,1.2,1.6
37000,1,0,0, ,1.6,1.8
37000,4,0,0, ,1.2,1.6
37022,1,0,0, , ,1.4
37022,4,0,0, , ,2
37051,1,0,0, ,1,1.4
37051,4,0,0, ,1,2
37113,1,0,0, , ,1.8
37113,4,0,0, , ,1.6
37120,1,0,0, , ,1
37120,4,0,0, , ,1.4
37131,1,0,0, ,1.2, 
37131,4,0,0, ,1.8, 
37142,1,1,0, , ,1
37142,4,1,0, , ,1.2
37153,1,0,0, ,0.4,1.8
37153,4,0,0, ,0.6,1
37160,1,0,0, ,1.2,1.8
37160,4,0,0, ,1.2,1.2
37171,1,0,0, , ,1
37171,4,0,0, , ,1.2
37193,1,0,0, , ,1.2
37193,4,0,0, , ,1
37200,1,0,0, , ,1.2
37200,4,0,0, , ,1
37222,1,0,0, , ,1
37222,4,0,0, , ,1.2
37240,1,0,0, , ,0.8
37240,4,0,0, , ,1
37291,1,0,0, , ,1.8
37291,4,0,0, , ,1.4
37302,1,0,0, , ,2
37302,4,0,0, , ,2
37313,1,0,0, , ,0.8
37313,4,0,0, , ,0.8
37331,1,0,0, , ,1.2
37331,4,0,0, , ,1.6
37342,1,1,0, ,1.6,1.4
37342,4,1,0, ,1.2,1
37382,1,0,0, ,0.8,2
37382,4,0,0, ,1.4,1.2
37451,1,1,0, ,1.4,0.8
37451,4,1,0, ,1.4,0.8
37462,1,0,0, ,1.6,1.8
37462,4,0,0, ,1.6,2
37473,1,0,0, , ,1.6
37473,4,0,0, , ,1.8
37491,1,1,0, , ,1.2
